query,scope,frequency,frequency_conflict,cluster,canonical,decision,seeds,operator_queries
"как подключить hdmi порт на телевизоре","broad","20","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"как подключить macbook к телевизору через hdmi","broad","20","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"как показать презентацию на телевизоре с флешки","broad","20","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"как понять какого размера телевизор по диагонали","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"как посчитать размер телевизора","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"как проверить флешку на телевизоре","broad","20","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"как рассчитать размер телевизора в комнату","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"как тошиба телевизор подключить к hdmi","broad","20","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"как убавить звук на телевизоре хаер","broad","20","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"как уменьшить звук на телевизоре haier","broad","20","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"какие размеры экранов телевизоров существуют","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"какой самый большой размер телевизора в дюймах","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"какой формат фильма для телевизора с флешки","broad","20","false","Файловая система USB","/kakoy-format-fleshki-nuzhen-dlya-televizora/","candidate_mapping_review_required","телевизор флешка","телевизор флешка"
"какой формат флешки подходит для телевизора","broad","20","false","Файловая система USB","/kakoy-format-fleshki-nuzhen-dlya-televizora/","candidate_mapping_review_required","телевизор флешка","телевизор флешка"
"крепление для телевизора lg 55","broad","20","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"крепление на стену телевизор ксиоми","broad","20","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"крепление саундбара под телевизор","broad","20","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"крепление телевизора к тумбочке","broad","20","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"крепление телевизора lg на стену купить","broad","20","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"крепления для телевизора ксиоми","broad","20","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"медиаплеер флешка для телевизора","broad","20","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"мерцает телевизор при подключении hdmi","broad","20","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"мигает экран телевизора при подключении hdmi","broad","20","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"на телевизоре пропадает звук потом появляется","broad","20","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"набор болтов для крепления телевизора к кронштейну","broad","20","false","Винты и болты","/vinty-dlya-krepleniya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"настенное крепление для телевизора 50 дюймов купить","broad","20","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"настроить звук с ноутбука на телевизор","broad","20","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"не добавляется звук на телевизоре","broad","20","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"нет звука на телевизоре ксиоми почему","broad","20","false","Звук: отсутствует","/net-zvuka-na-televizore/","candidate_mapping_review_required","телевизор звук","телевизор звук"
"нет звука на телевизоре philips причины","broad","20","false","Звук: отсутствует","/net-zvuka-na-televizore/","candidate_mapping_review_required","телевизор звук","телевизор звук"
"оптимальный размер телевизора для гостиной","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"отключился звук на телевизоре самсунг как включить","broad","20","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"переходник aux hdmi для телевизора","broad","20","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"переходник hdmi usb для телевизора купить","broad","20","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"переходник lan на hdmi для телевизора","broad","20","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"подключение 2 телевизора через hdmi","broad","20","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"подключение смарт телевизора через hdmi","broad","20","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"подключить телевизор к компьютеру настроить звук","broad","20","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"потолочное крепление для телевизора 65 дюймов","broad","20","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"почему на телевизоре не отображается hdmi","broad","20","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"почему на телевизоре dexp нет звука","broad","20","false","Звук: отсутствует","/net-zvuka-na-televizore/","candidate_mapping_review_required","телевизор звук","телевизор звук"
"почему не подключается флешка к телевизору","broad","20","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"почему телевизор не видит hdmi от компьютера","broad","20","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"приспособление для крепления телевизора на стену","broad","20","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"пропал звук на телевизоре lg как настроить","broad","20","false","Звук: отсутствует","/net-zvuka-na-televizore/","candidate_mapping_review_required","телевизор звук","телевизор звук"
"размер веса у телевизора что это","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"размер телевизора 110 64 какая диагональ","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"размер телевизора 43 и 50 дюймов","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"размеры крепления телевизора 32 на стену","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры | телевизор крепление","телевизор размеры | телевизор крепление"
"размеры телевизора 2 дюйма","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"размеры телевизора калина","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"размеры телевизора хайсенс 65 дюймов","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"расширить экран на телевизор через hdmi","broad","20","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"сколько стоит флешка для телевизора","broad","20","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"соответствие диагонали и размеров телевизора","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"станция макс вывести звук на телевизор","broad","20","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"телевизор 21 дюйм размеры в см","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор 23 дюйма размеры ширина и высота","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор 32 дюйма как понять размер","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор 44 дюйма размеры в см","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор 65 дюймов с отличным звуком","broad","20","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"телевизор 70 диагональ размеры в сантиметрах","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор 75 85 дюймов размеры","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор 75 дюймов яндекс размеры","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор 98 какие размеры","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор витязь как подключить флешку","broad","20","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"телевизор диагональ 75 размеры экрана","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор заикается звук что делать","broad","20","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"телевизор к ноутбуку через hdmi разрешение","broad","20","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"телевизор лж как включить звук","broad","20","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"телевизор не воспроизводит видео с флешки mp4","broad","20","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"телевизор перестал подключаться через hdmi","broad","20","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"телевизор самсунг как добавить звук","broad","20","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"телевизор самсунг настройка размера изображения","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор самсунг не видит ноутбук через hdmi","broad","20","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"телевизор самсунг не видит флешку что делать","broad","20","false","USB: не видит файл","/televizor-ne-vidit-fleshku/","candidate_mapping_review_required","телевизор флешка","телевизор флешка"
"телевизор сяоми пропало изображение а звук есть","broad","20","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"телевизор хаер не работает звук","broad","20","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"телевизор daewoo нет изображения звук есть","broad","20","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"телевизор lg 86 диагональ размеры","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор samsung заикается звук нагревается микросхема nip3000a","broad","20","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"телевизор sony не видит флешку","broad","20","false","USB: не видит файл","/televizor-ne-vidit-fleshku/","candidate_mapping_review_required","телевизор флешка","телевизор флешка"
"телевизор tcl 43 дюйма размеры","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизоры 40 дюймов сколько размер в ширину","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"флешка для проверки телевизора 4k","broad","20","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"флешка для просмотра 4к видео на телевизоре","broad","20","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"флешка для телевизора тсл","broad","20","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"флешка с играми денди для телевизора","broad","20","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"что такое в настройках звука телевизора avc","broad","20","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"яндекс телевизор звук есть изображения нет","broad","20","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"hdmi подключения телефона к телевизору приложение","broad","20","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"hdmi телевизор нет звука с приставки","broad","20","false","Звук через HDMI","/net-zvuka-na-televizore/","candidate_mapping_review_required","телевизор hdmi | телевизор звук","телевизор hdmi | телевизор звук"
"hdmi hub для телевизора","broad","20","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"hisense телевизор 55e77sl размеры","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"hisense телевизор 55u7s pro размеры","broad","20","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"ps5 нет изображения на телевизоре через hdmi","broad","20","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"windows 7 hdmi к телевизору","broad","20","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"винты крепления подставки телевизора lg","broad","19","false","Винты и болты","/vinty-dlya-krepleniya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"винты крепления телевизора samsung к кронштейну","broad","19","false","Винты и болты","/vinty-dlya-krepleniya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"встроенные крепления на телевизор","broad","19","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"втулки для крепления телевизора к кронштейну","broad","19","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"где звук на телевизоре lg","broad","19","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"диагональ телевизора 65 размеры высота и длина","broad","19","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"записывать флешку через телевизор","broad","19","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"звук глитча телевизора","broad","19","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"звук старого телевизора шипение","broad","19","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"звук телевизора 21","broad","19","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"звук телевизора футбол","broad","19","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"кабель hdmi scart для телевизора купить","broad","19","false","HDMI: кабель","/kakoy-hdmi-kabel-nuzhen/","candidate_mapping_review_required","телевизор hdmi","телевизор hdmi"
"кабель hdmi type с для телевизора","broad","19","false","HDMI: кабель","/kakoy-hdmi-kabel-nuzhen/","candidate_mapping_review_required","телевизор hdmi","телевизор hdmi"
"как вернуть звук на телевизоре lg","broad","19","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"как измеряется размер телевизора экрана","broad","19","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"как на телевизоре супра переключить на hdmi","broad","19","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"как на телевизоре хартенс включить флешку","broad","19","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"как отформатировать флешку под телевизор","broad","19","false","Файловая система USB","/kakoy-format-fleshki-nuzhen-dlya-televizora/","candidate_mapping_review_required","телевизор флешка","телевизор флешка"
"как подсоединить звук к телевизору","broad","19","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"как посмотреть флешку на телевизоре андроид","broad","19","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"как сделать так чтобы телевизор видел флешку","broad","19","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"как сделать hdmi 2 на телевизоре","broad","19","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"как улучшить качество звука на телевизоре","broad","19","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"какие размеры телевизоров бывают по диагонали каталог","broad","19","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"караоке на флешку для телевизора скачать торрент","broad","19","false","Требует ручной оценки","","exclude","телевизор флешка","телевизор флешка"
"караоке на флешку для телевизора торрент","broad","19","false","Требует ручной оценки","","exclude","телевизор флешка","телевизор флешка"
"крепление для телевизора 19","broad","19","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"крепление для телевизора 400 300","broad","19","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"крепление для телевизора лемана про","broad","19","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"крепление телевизора 200х100","broad","19","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"крепление телевизора к потолку с телескопической штангой","broad","19","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"крепление телевизора dexp 32","broad","19","false","Подбор кронштейна","/kupit-kronshteyn-dlya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"купить флешку для работы каналов телевизора филипс","broad","19","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"можно ли открыть на телевизоре флешку","broad","19","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"на пульте телевизора режим hdmi","broad","19","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"найди телевизор размер предмета 94 см самсунг","broad","19","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"не работает звук на телевизоре tcl","broad","19","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"не работает hdmi на телевизоре samsung","broad","19","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"не регулируется звук на пульте телевизора","broad","19","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"нет звука на фильмах через телевизор","broad","19","false","Звук: отсутствует","/net-zvuka-na-televizore/","candidate_mapping_review_required","телевизор звук","телевизор звук"
"обновление самсунг телевизора через флешку","broad","19","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"отключается экран телевизора а звук есть","broad","19","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"пиксель тест для телевизора на флешку","broad","19","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"подобрать диагональ телевизора по размеру комнаты","broad","19","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"приставка hdmi к телевизору вай фай","broad","19","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"приставка xiaomi для телевизора hdmi","broad","19","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"пропал звук на телевизоре хендай","broad","19","false","Звук: отсутствует","/net-zvuka-na-televizore/","candidate_mapping_review_required","телевизор звук","телевизор звук"
"пропал звук на телевизоре через приставку","broad","19","false","Звук: отсутствует","/net-zvuka-na-televizore/","candidate_mapping_review_required","телевизор звук","телевизор звук"
"прошивка телевизора lg с флешки","broad","19","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"размер 49 дюймового телевизора","broad","19","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"размер телевизора 75 дюймов крепления","broad","19","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры | телевизор крепление","телевизор размеры | телевизор крепление"
"размер телевизора lg 49 дюймов","broad","19","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"размеры телевизора 42 и 50","broad","19","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"размеры tcl телевизор q6cs 55","broad","19","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"самые популярные размеры телевизоров","broad","19","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"слайд шоу на телевизоре с флешки","broad","19","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"смотреть звук включения телевизор самсунг","broad","19","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"соединить компьютер с телевизором hdmi","broad","19","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"телевизор 24 и 32 дюйма размеры","broad","19","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор 78 дюймов размеры","broad","19","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор 82 дюйма размеры","broad","19","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор 85 дюймов размеры tcl","broad","19","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор изображения нет а звук есть bbk","broad","19","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"телевизор пропадает звук и выключается","broad","19","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"телевизор с функцией подавления фоновых звуков","broad","19","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"телевизор с hdmi cec без смарт тв","broad","19","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"телевизор салют не видит флешку","broad","19","false","USB: не видит файл","/televizor-ne-vidit-fleshku/","candidate_mapping_review_required","телевизор флешка","телевизор флешка"
"телевизор самсунг записать на флешку","broad","19","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"телевизор самсунг не читает флешку","broad","19","false","USB: не видит файл","/televizor-ne-vidit-fleshku/","candidate_mapping_review_required","телевизор флешка","телевизор флешка"
"телевизор сбер 55 дюймов размеры","broad","19","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор супра как включить звук","broad","19","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"телевизор тошиба настроить звук","broad","19","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"телевизор филипс не включается звук","broad","19","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"телевизор хайсенс 50 дюймов размеры","broad","19","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор haier как смотреть флешку","broad","19","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"телевизор lg 42 дюйма размеры","broad","19","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"телевизор lg как найти флешку","broad","19","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"телевизор philips не видит флешку","broad","19","false","USB: не видит файл","/televizor-ne-vidit-fleshku/","candidate_mapping_review_required","телевизор флешка","телевизор флешка"
"телевизор sharp пропадает звук","broad","19","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"телефон как флешка для телевизора через usb","broad","19","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"удлинитель для флешки к телевизору","broad","19","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"установить впн на телевизор с флешки","broad","19","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"флешка делает телевизор смарт","broad","19","false","Требует ручной оценки","","review","телевизор флешка","телевизор флешка"
"формат флешки для телевизора tcl","broad","19","false","Файловая система USB","/kakoy-format-fleshki-nuzhen-dlya-televizora/","candidate_mapping_review_required","телевизор флешка","телевизор флешка"
"что можно подключить к телевизору через hdmi","broad","19","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"яндекс модуль звук на телевизор","broad","19","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"hdmi cec в телевизоре lg","broad","19","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"32 размер телевизора смарт тв","broad","18","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"80 дюймов в см размер экрана телевизора","broad","18","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"болтики крепления телевизора на ножки","broad","18","false","Винты и болты","/vinty-dlya-krepleniya-televizora/","candidate_mapping_review_required","телевизор крепление","телевизор крепление"
"винкс пропал звук на телевизоре","broad","18","false","Звук: отсутствует","/net-zvuka-na-televizore/","candidate_mapping_review_required","телевизор звук","телевизор звук"
"вывести звук с телевизора samsung","broad","18","false","Требует ручной оценки","","review","телевизор звук","телевизор звук"
"диагональ 98 дюймов размеры телевизора","broad","18","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"замена hdmi разъема в телевизоре","broad","18","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
